date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
2022-01-01,San Diego,County,3370418.0,3215.0,473110.0,6.0,4533.0,11373.0,8984811,3118.0,558099,0.0,427087.0,0.0,4469.0,
2022-01-02,San Diego,County,3370418.0,5935.0,479045.0,6.0,4539.0,24636.0,9009447,6423.0,564522,0.0,427087.0,0.0,4469.0,
2022-01-03,San Diego,County,3370418.0,15033.0,494078.0,5.0,4544.0,60438.0,9069885,15804.0,580326,24067.0,451154.0,7.0,4476.0,111876.0
2022-01-04,San Diego,County,3370418.0,16120.0,510198.0,5.0,4549.0,63823.0,9133708,18113.0,598439,7345.0,458499.0,11.0,4487.0,19032.0
2022-01-05,San Diego,County,3370418.0,16361.0,526559.0,7.0,4556.0,62092.0,9195800,18036.0,616475,8103.0,466602.0,8.0,4495.0,30507.0
2022-01-06,San Diego,County,3370418.0,13603.0,540162.0,8.0,4564.0,54337.0,9250137,14990.0,631465,5671.0,472273.0,0.0,4495.0,40154.0
2022-01-07,San Diego,County,3370418.0,11646.0,551808.0,8.0,4572.0,48802.0,9298939,13218.0,644683,0.0,472273.0,0.0,4495.0,
2022-01-08,San Diego,County,3370418.0,7128.0,558936.0,8.0,4580.0,29230.0,9328169,8941.0,653624,0.0,472273.0,0.0,4495.0,
2022-01-09,San Diego,County,3370418.0,4904.0,563840.0,6.0,4586.0,19004.0,9347173,5503.0,659127,5933.0,478206.0,5.0,4500.0,141624.0
2022-01-10,San Diego,County,3370418.0,13156.0,576996.0,20.0,4606.0,52681.0,9399854,14009.0,673136,52300.0,530506.0,0.0,4500.0,42369.0
2022-01-11,San Diego,County,3370418.0,12702.0,589698.0,11.0,4617.0,55082.0,9454936,15258.0,688394,6448.0,536954.0,20.0,4520.0,36875.0
2022-01-12,San Diego,County,3370418.0,12008.0,601706.0,14.0,4631.0,50141.0,9505077,13584.0,701978,14715.0,551669.0,9.0,4529.0,46653.0
2022-01-13,San Diego,County,3370418.0,10506.0,612212.0,10.0,4641.0,48545.0,9553622,12379.0,714357,7716.0,559385.0,11.0,4540.0,53822.0
2022-01-14,San Diego,County,3370418.0,8520.0,620732.0,18.0,4659.0,38224.0,9591846,10141.0,724498,0.0,559385.0,0.0,4540.0,
2022-01-15,San Diego,County,3370418.0,5653.0,626385.0,12.0,4671.0,23225.0,9615071,6684.0,731182,0.0,559385.0,0.0,4540.0,
2022-01-16,San Diego,County,3370418.0,3790.0,630175.0,20.0,4691.0,16584.0,9631655,4525.0,735707,9856.0,569241.0,5.0,4545.0,130231.0
2022-01-17,San Diego,County,3370418.0,7588.0,637763.0,12.0,4703.0,34036.0,9665691,9118.0,744825,0.0,569241.0,0.0,4545.0,29087.0
2022-01-18,San Diego,County,3370418.0,12219.0,649982.0,16.0,4719.0,51226.0,9716917,13754.0,758579,35896.0,605137.0,2.0,4547.0,27763.0
2022-01-19,San Diego,County,3370418.0,10205.0,660187.0,16.0,4735.0,45802.0,9762719,11676.0,770255,9572.0,614709.0,6.0,4553.0,38201.0
2022-01-20,San Diego,County,3370418.0,8779.0,668966.0,22.0,4757.0,42798.0,9805517,10245.0,780500,14195.0,628904.0,6.0,4559.0,58536.0
2022-01-21,San Diego,County,3370418.0,7102.0,676068.0,15.0,4772.0,35577.0,9841094,8784.0,789284,0.0,628904.0,0.0,4559.0,
2022-01-22,San Diego,County,3370418.0,4168.0,680236.0,15.0,4787.0,21058.0,9862152,5560.0,794844,0.0,628904.0,0.0,4559.0,
2022-01-23,San Diego,County,3370418.0,2491.0,682727.0,22.0,4809.0,13398.0,9875550,3381.0,798225,11311.0,640215.0,7.0,4566.0,136338.0
2022-01-24,San Diego,County,3370418.0,6614.0,689341.0,15.0,4824.0,42125.0,9917675,8587.0,806812,23365.0,663580.0,20.0,4586.0,23748.0
2022-01-25,San Diego,County,3370418.0,5659.0,695000.0,19.0,4843.0,35645.0,9953320,7457.0,814269,6530.0,670110.0,18.0,4604.0,26195.0
2022-01-26,San Diego,County,3370418.0,4997.0,699997.0,15.0,4858.0,33030.0,9986350,6505.0,820774,6282.0,676392.0,18.0,4622.0,32978.0
2022-01-27,San Diego,County,3370418.0,4223.0,704220.0,19.0,4877.0,31212.0,10017562,5392.0,826166,6635.0,683027.0,21.0,4643.0,44218.0
2022-01-28,San Diego,County,3370418.0,3348.0,707568.0,14.0,4891.0,24444.0,10042006,4550.0,830716,0.0,683027.0,0.0,4643.0,
2022-01-29,San Diego,County,3370418.0,1825.0,709393.0,13.0,4904.0,13389.0,10055395,2651.0,833367,0.0,683027.0,0.0,4643.0,
2022-01-30,San Diego,County,3370418.0,1333.0,710726.0,10.0,4914.0,9650.0,10065045,1670.0,835037,4118.0,687145.0,22.0,4665.0,126481.0
2022-01-31,San Diego,County,3370418.0,3543.0,714269.0,14.0,4928.0,33982.0,10099027,4638.0,839675,11426.0,698571.0,21.0,4686.0,17107.0
2022-02-01,San Diego,County,3370418.0,2909.0,717178.0,20.0,4948.0,29123.0,10128150,4019.0,843694,2438.0,701009.0,24.0,4710.0,17781.0
2022-02-02,San Diego,County,3370418.0,2521.0,719699.0,12.0,4960.0,25775.0,10153925,3349.0,847043,2948.0,703957.0,25.0,4735.0,23519.0
2022-02-03,San Diego,County,3370418.0,2203.0,721902.0,15.0,4975.0,26775.0,10180700,2970.0,850013,0.0,703957.0,0.0,4735.0,32338.0
2022-02-04,San Diego,County,3370418.0,1973.0,723875.0,19.0,4994.0,22219.0,10202919,2756.0,852769,0.0,703957.0,0.0,4735.0,
2022-02-05,San Diego,County,3370418.0,1135.0,725010.0,18.0,5012.0,10714.0,10213633,1659.0,854428,0.0,703957.0,0.0,4735.0,
2022-02-06,San Diego,County,3370418.0,860.0,725870.0,17.0,5029.0,8070.0,10221703,1071.0,855499,5981.0,709938.0,51.0,4786.0,70033.0
2022-02-07,San Diego,County,3370418.0,2061.0,727931.0,15.0,5044.0,29172.0,10250875,2817.0,858316,6306.0,716244.0,25.0,4811.0,10181.0
2022-02-08,San Diego,County,3370418.0,1720.0,729651.0,15.0,5059.0,24845.0,10275720,2241.0,860557,1652.0,717896.0,21.0,4832.0,14412.0
2022-02-09,San Diego,County,3370418.0,1573.0,731224.0,13.0,5072.0,20997.0,10296717,1937.0,862494,0.0,717896.0,0.0,4832.0,21999.0
2022-02-10,San Diego,County,3370418.0,1356.0,732580.0,12.0,5084.0,21712.0,10318429,1752.0,864246,2391.0,720287.0,22.0,4854.0,28375.0
2022-02-11,San Diego,County,3370418.0,1109.0,733689.0,13.0,5097.0,18363.0,10336792,1610.0,865856,0.0,720287.0,0.0,4854.0,
2022-02-12,San Diego,County,3370418.0,703.0,734392.0,11.0,5108.0,9194.0,10345986,1028.0,866884,0.0,720287.0,0.0,4854.0,
2022-02-13,San Diego,County,3370418.0,499.0,734891.0,12.0,5120.0,6585.0,10352571,661.0,867545,3615.0,723902.0,40.0,4894.0,52775.0
2022-02-14,San Diego,County,3370418.0,1139.0,736030.0,10.0,5130.0,24338.0,10376909,1587.0,869132,0.0,723902.0,0.0,4894.0,19092.0
2022-02-15,San Diego,County,3370418.0,968.0,736998.0,14.0,5144.0,21099.0,10398008,1334.0,870466,3584.0,727486.0,20.0,4914.0,12516.0
2022-02-16,San Diego,County,3370418.0,962.0,737960.0,10.0,5154.0,19906.0,10417914,1304.0,871770,1124.0,728610.0,17.0,4931.0,16875.0
2022-02-17,San Diego,County,3370418.0,760.0,738720.0,8.0,5162.0,18292.0,10436206,1053.0,872823,939.0,729549.0,16.0,4947.0,21409.0
2022-02-18,San Diego,County,3370418.0,596.0,739316.0,8.0,5170.0,13625.0,10449831,867.0,873690,0.0,729549.0,0.0,4947.0,
2022-02-19,San Diego,County,3370418.0,424.0,739740.0,7.0,5177.0,7288.0,10457119,592.0,874282,0.0,729549.0,0.0,4947.0,
2022-02-20,San Diego,County,3370418.0,346.0,740086.0,9.0,5186.0,5913.0,10463032,473.0,874755,0.0,729549.0,0.0,4947.0,
2022-02-21,San Diego,County,3370418.0,572.0,740658.0,6.0,5192.0,14401.0,10477433,739.0,875494,2749.0,732298.0,27.0,4974.0,63868.0
2022-02-22,San Diego,County,3370418.0,618.0,741276.0,7.0,5199.0,20174.0,10497607,922.0,876416,2238.0,734536.0,0.0,4974.0,9309.0
2022-02-23,San Diego,County,3370418.0,526.0,741802.0,3.0,5202.0,17085.0,10514692,743.0,877159,870.0,735406.0,14.0,4988.0,10626.0
2022-02-24,San Diego,County,3370418.0,504.0,742306.0,4.0,5206.0,15986.0,10530678,735.0,877894,643.0,736049.0,14.0,5002.0,19875.0
2022-02-25,San Diego,County,3370418.0,413.0,742719.0,4.0,5210.0,13325.0,10544003,594.0,878488,0.0,736049.0,0.0,5002.0,
2022-02-26,San Diego,County,3370418.0,282.0,743001.0,9.0,5219.0,7022.0,10551025,408.0,878896,0.0,736049.0,0.0,5002.0,
2022-02-27,San Diego,County,3370418.0,223.0,743224.0,2.0,5221.0,5690.0,10556715,321.0,879217,1711.0,737760.0,16.0,5018.0,47900.0
2022-02-28,San Diego,County,3370418.0,473.0,743697.0,7.0,5228.0,20667.0,10577382,699.0,879916,0.0,737760.0,0.0,5018.0,7718.0
2022-03-01,San Diego,County,3370418.0,388.0,744085.0,4.0,5232.0,18961.0,10596343,618.0,880534,1376.0,739136.0,11.0,5029.0,9806.0
2022-03-02,San Diego,County,3370418.0,427.0,744512.0,5.0,5237.0,16242.0,10612585,596.0,881130,667.0,739803.0,5.0,5034.0,15998.0
2022-03-03,San Diego,County,3370418.0,360.0,744872.0,3.0,5240.0,14764.0,10627349,465.0,881595,944.0,740747.0,11.0,5045.0,20308.0
2022-03-04,San Diego,County,3370418.0,344.0,745216.0,6.0,5246.0,13799.0,10641148,461.0,882056,0.0,740747.0,0.0,5045.0,
2022-03-05,San Diego,County,3370418.0,239.0,745455.0,5.0,5251.0,6669.0,10647817,299.0,882355,0.0,740747.0,0.0,5045.0,
2022-03-06,San Diego,County,3370418.0,190.0,745645.0,5.0,5256.0,5248.0,10653065,255.0,882610,1540.0,742287.0,23.0,5068.0,
2022-03-07,San Diego,County,3370418.0,395.0,746040.0,2.0,5258.0,20866.0,10673931,536.0,883146,0.0,742287.0,0.0,5068.0,54371.0
2022-03-08,San Diego,County,3370418.0,342.0,746382.0,1.0,5259.0,20015.0,10693946,438.0,883584,1317.0,743604.0,9.0,5077.0,7828.0
2022-03-09,San Diego,County,3370418.0,344.0,746726.0,4.0,5263.0,17282.0,10711228,428.0,884012,352.0,743956.0,6.0,5083.0,16247.0
2022-03-10,San Diego,County,3370418.0,271.0,746997.0,4.0,5267.0,14096.0,10725324,359.0,884371,430.0,744386.0,7.0,5090.0,20094.0
2022-03-11,San Diego,County,3370418.0,256.0,747253.0,2.0,5269.0,12988.0,10738312,340.0,884711,0.0,744386.0,0.0,5090.0,
2022-03-12,San Diego,County,3370418.0,166.0,747419.0,2.0,5271.0,6300.0,10744612,218.0,884929,0.0,744386.0,0.0,5090.0,
2022-03-13,San Diego,County,3370418.0,122.0,747541.0,2.0,5273.0,5216.0,10749828,171.0,885100,1129.0,745515.0,18.0,5108.0,50324.0
2022-03-14,San Diego,County,3370418.0,342.0,747883.0,1.0,5274.0,20011.0,10769839,453.0,885553,0.0,745515.0,0.0,5108.0,6580.0
2022-03-15,San Diego,County,3370418.0,303.0,748186.0,1.0,5275.0,16947.0,10786786,397.0,885950,959.0,746474.0,8.0,5116.0,9547.0
2022-03-16,San Diego,County,3370418.0,244.0,748430.0,2.0,5277.0,15225.0,10802011,319.0,886269,496.0,746970.0,10.0,5126.0,12053.0
2022-03-17,San Diego,County,3370418.0,205.0,748635.0,4.0,5281.0,12989.0,10815000,279.0,886548,374.0,747344.0,7.0,5133.0,26717.0
2022-03-18,San Diego,County,3370418.0,176.0,748811.0,2.0,5283.0,12378.0,10827378,245.0,886793,0.0,747344.0,0.0,5133.0,
2022-03-19,San Diego,County,3370418.0,108.0,748919.0,1.0,5284.0,5564.0,10832942,171.0,886964,0.0,747344.0,0.0,5133.0,
2022-03-20,San Diego,County,3370418.0,100.0,749019.0,1.0,5285.0,4760.0,10837702,136.0,887100,1489.0,748833.0,5.0,5138.0,38432.0
2022-03-21,San Diego,County,3370418.0,236.0,749255.0,2.0,5287.0,16613.0,10854315,354.0,887454,0.0,748833.0,0.0,5138.0,5709.0
2022-03-22,San Diego,County,3370418.0,224.0,749479.0,2.0,5289.0,13602.0,10867917,282.0,887736,814.0,749647.0,3.0,5141.0,11527.0
2022-03-23,San Diego,County,3370418.0,200.0,749679.0,0.0,5289.0,12757.0,10880674,261.0,887997,224.0,749871.0,2.0,5143.0,11092.0
2022-03-24,San Diego,County,3370418.0,194.0,749873.0,2.0,5291.0,10875.0,10891549,267.0,888264,299.0,750170.0,3.0,5146.0,14826.0
2022-03-25,San Diego,County,3370418.0,209.0,750082.0,3.0,5294.0,10193.0,10901742,268.0,888532,0.0,750170.0,0.0,5146.0,
2022-03-26,San Diego,County,3370418.0,122.0,750204.0,0.0,5294.0,5246.0,10906988,155.0,888687,0.0,750170.0,0.0,5146.0,
2022-03-27,San Diego,County,3370418.0,124.0,750328.0,0.0,5294.0,5236.0,10912224,153.0,888840,489.0,750659.0,9.0,5155.0,31845.0
2022-03-28,San Diego,County,3370418.0,255.0,750583.0,1.0,5295.0,14121.0,10926345,306.0,889146,0.0,750659.0,0.0,5155.0,2427.0
2022-03-29,San Diego,County,3370418.0,240.0,750823.0,1.0,5296.0,11667.0,10938012,283.0,889429,581.0,751240.0,4.0,5159.0,13825.0
2022-03-30,San Diego,County,3370418.0,244.0,751067.0,1.0,5297.0,11455.0,10949467,290.0,889719,444.0,751684.0,10.0,5169.0,9494.0
2022-03-31,San Diego,County,3370418.0,232.0,751299.0,0.0,5297.0,8481.0,10957948,252.0,889971,597.0,752281.0,9.0,5178.0,14406.0
2022-04-01,San Diego,County,3370418.0,236.0,751535.0,0.0,5297.0,10083.0,10968031,287.0,890258,0.0,752281.0,0.0,5178.0,
2022-04-02,San Diego,County,3370418.0,148.0,751683.0,1.0,5298.0,4955.0,10972986,172.0,890430,0.0,752281.0,0.0,5178.0,
2022-04-03,San Diego,County,3370418.0,125.0,751808.0,2.0,5300.0,4310.0,10977296,131.0,890561,0.0,752281.0,0.0,5178.0,
2022-04-04,San Diego,County,3370418.0,331.0,752139.0,1.0,5301.0,15618.0,10992914,370.0,890931,1121.0,753402.0,14.0,5192.0,35673.0
2022-04-05,San Diego,County,3370418.0,319.0,752458.0,3.0,5304.0,13240.0,11006154,361.0,891292,0.0,753402.0,0.0,5192.0,
2022-04-06,San Diego,County,3370418.0,308.0,752766.0,1.0,5305.0,12647.0,11018801,337.0,891629,0.0,753402.0,0.0,5192.0,
2022-04-07,San Diego,County,3370418.0,295.0,753061.0,0.0,5305.0,11465.0,11030266,345.0,891974,879.0,754281.0,18.0,5210.0,31457.0
2022-04-08,San Diego,County,3370418.0,267.0,753328.0,0.0,5305.0,11133.0,11041399,277.0,892251,0.0,754281.0,0.0,5210.0,
2022-04-09,San Diego,County,3370418.0,170.0,753498.0,0.0,5305.0,5355.0,11046754,184.0,892435,0.0,754281.0,0.0,5210.0,
2022-04-10,San Diego,County,3370418.0,148.0,753646.0,0.0,5305.0,4832.0,11051586,175.0,892610,0.0,754281.0,0.0,5210.0,
